296.175, 130.369, 6.381,  6.986 False
295.963, 130.397, 6.413,  7.019 False
295.750, 130.426, 6.443,  7.052 False
295.537, 130.454, 6.475,  7.085 False
295.322, 130.483, 6.505,  7.118 False
295.107, 130.512, 6.537,  7.151 False
294.890, 130.542, 6.566,  7.184 False
294.672, 130.571, 6.598,  7.217 False
294.454, 130.601, 6.628,  7.250 False
294.234, 130.631, 6.660,  7.283 False
294.014, 130.661, 6.688,  7.316 False
293.792, 130.690, 6.720,  7.349 False
293.569, 130.720, 6.747,  7.382 False
293.346, 130.750, 6.778,  7.415 False
293.121, 130.780, 6.805,  7.448 False
292.895, 130.810, 6.835,  7.481 False
292.669, 130.840, 6.863,  7.514 False
292.441, 130.870, 6.893,  7.547 False
292.213, 130.900, 6.920,  7.580 False
291.984, 130.930, 6.951,  7.613 False
291.753, 130.960, 6.978,  7.646 False
291.522, 130.990, 7.009,  7.679 False
291.290, 131.020, 7.036,  7.712 False
291.056, 131.051, 7.067,  7.745 False
290.822, 131.081, 7.094,  7.778 False
290.587, 131.110, 7.125,  7.811 False
290.350, 131.140, 7.152,  7.844 False
290.113, 131.170, 7.183,  7.877 False
289.875, 131.200, 7.210,  7.910 False
289.636, 131.229, 7.240,  7.943 False
289.396, 131.259, 7.267,  7.976 False
289.154, 131.289, 7.298,  8.009 False
288.912, 131.319, 7.325,  8.042 False
288.669, 131.349, 7.356,  8.075 False
288.425, 131.378, 7.383,  8.108 False
288.180, 131.408, 7.413,  8.141 False
287.934, 131.438, 7.440,  8.174 False
287.687, 131.467, 7.470,  8.207 False
287.439, 131.497, 7.497,  8.240 False
287.190, 131.525, 7.526,  8.273 False
286.940, 131.553, 7.553,  8.306 False
286.689, 131.582, 7.583,  8.339 False
286.438, 131.611, 7.610,  8.372 False
286.185, 131.639, 7.640,  8.405 False
285.931, 131.668, 7.667,  8.438 False
285.676, 131.696, 7.697,  8.471 False
285.421, 131.724, 7.724,  8.504 False
285.164, 131.752, 7.753,  8.537 False
284.906, 131.780, 7.780,  8.570 False
284.648, 131.807, 7.810,  8.603 False
284.388, 131.834, 7.837,  8.636 False
284.128, 131.861, 7.867,  8.669 False
283.866, 131.888, 7.894,  8.702 False
283.604, 131.915, 7.924,  8.735 False
283.340, 131.940, 7.950,  8.768 False
283.076, 131.966, 7.981,  8.801 False
282.810, 131.989, 8.000,  8.834 False
282.543, 132.006, 8.020,  8.867 False
282.276, 132.020, 8.043,  8.900 False
282.007, 132.031, 8.071,  8.933 False
281.738, 132.042, 8.107,  8.966 False
281.466, 132.052, 8.145,  8.999 False
281.194, 132.060, 8.177,  9.032 False
280.921, 132.066, 8.208,  9.065 False
280.647, 132.072, 8.237,  9.098 False
280.372, 132.078, 8.264,  9.131 False
280.096, 132.081, 8.285,  9.164 False
279.819, 132.083, 8.302,  9.197 False
279.543, 132.083, 8.314,  9.230 False
279.265, 132.079, 8.325,  9.263 False
278.988, 132.074, 8.336,  9.296 False
278.710, 132.068, 8.347,  9.329 False
278.432, 132.062, 8.357,  9.362 False
278.153, 132.055, 8.365,  9.395 False
277.874, 132.047, 8.371,  9.428 False
277.596, 132.037, 8.376,  9.461 False
277.317, 132.027, 8.380,  9.494 False
277.038, 132.016, 8.383,  9.527 False
276.759, 132.003, 8.386,  9.560 False
276.480, 131.989, 8.388,  9.593 False
276.200, 131.975, 8.390,  9.626 False
275.921, 131.959, 8.392,  9.659 False
275.642, 131.944, 8.394,  9.692 False
275.363, 131.929, 8.395,  9.725 False
275.083, 131.913, 8.396,  9.758 False
274.804, 131.896, 8.397,  9.791 False
274.525, 131.880, 8.397,  9.824 False
274.245, 131.863, 8.397,  9.857 False
273.966, 131.845, 8.398,  9.890 False
273.687, 131.828, 8.398,  9.923 False
273.407, 131.810, 8.397,  9.956 False
273.128, 131.791, 8.397,  9.989 False
272.849, 131.772, 8.396, 10.022 False
272.570, 131.752, 8.396, 10.055 False
272.291, 131.733, 8.396, 10.088 False
272.012, 131.714, 8.395, 10.121 False
271.732, 131.695, 8.395, 10.154 False
271.453, 131.676, 8.394, 10.187 False
271.174, 131.656, 8.393, 10.220 False
270.895, 131.637, 8.393, 10.253 False
270.616, 131.618, 8.392, 10.286 False
270.337, 131.599, 8.391, 10.319 False
270.058, 131.579, 8.390, 10.352 False
269.779, 131.560, 8.389, 10.385 False
269.500, 131.540, 8.388, 10.418 False
269.221, 131.520, 8.387, 10.451 False
268.942, 131.501, 8.386, 10.484 False
268.664, 131.482, 8.385, 10.517 False
268.385, 131.462, 8.385, 10.550 False
268.106, 131.443, 8.384, 10.583 False
267.827, 131.424, 8.383, 10.616 False
267.548, 131.405, 8.382, 10.649 False
267.270, 131.386, 8.381, 10.682 False
266.991, 131.367, 8.380, 10.715 False
266.712, 131.348, 8.379, 10.748 False
266.434, 131.330, 8.378, 10.781 False
266.155, 131.311, 8.377, 10.814 False
265.877, 131.292, 8.376, 10.847 False
265.598, 131.273, 8.375, 10.880 False
265.319, 131.255, 8.374, 10.913 False
265.041, 131.236, 8.373, 10.946 False
264.762, 131.218, 8.373, 10.979 False
264.484, 131.200, 8.372, 11.012 False
264.206, 131.182, 8.371, 11.045 False
263.927, 131.164, 8.370, 11.078 False
263.649, 131.146, 8.369, 11.111 False
263.370, 131.128, 8.368, 11.144 False
263.092, 131.111, 8.368, 11.177 False
262.814, 131.093, 8.367, 11.210 False
262.535, 131.076, 8.366, 11.243 False
262.257, 131.058, 8.365, 11.276 False
261.979, 131.041, 8.365, 11.309 False
261.700, 131.024, 8.364, 11.342 False
261.422, 131.007, 8.363, 11.375 False
261.144, 130.990, 8.362, 11.408 False
260.866, 130.974, 8.362, 11.441 False
260.587, 130.958, 8.361, 11.474 False
260.309, 130.941, 8.360, 11.507 False
260.031, 130.925, 8.360, 11.540 False
259.753, 130.909, 8.359, 11.573 False
259.475, 130.893, 8.358, 11.606 False
259.197, 130.877, 8.358, 11.639 False
258.918, 130.861, 8.357, 11.672 False
258.640, 130.845, 8.357, 11.705 False
258.362, 130.829, 8.356, 11.738 False
258.084, 130.814, 8.356, 11.771 False
257.806, 130.798, 8.355, 11.804 False
257.528, 130.783, 8.354, 11.837 False
257.250, 130.768, 8.354, 11.870 False
256.972, 130.753, 8.353, 11.903 False
256.694, 130.737, 8.353, 11.936 False
256.416, 130.722, 8.352, 11.969 False
256.138, 130.708, 8.352, 12.002 False
255.860, 130.693, 8.351, 12.035 False
255.582, 130.679, 8.351, 12.068 False
255.304, 130.664, 8.350, 12.101 False
255.026, 130.650, 8.350, 12.134 False
254.748, 130.636, 8.350, 12.167 False
254.470, 130.622, 8.349, 12.200 False
254.192, 130.608, 8.349, 12.233 False
253.914, 130.594, 8.349, 12.266 False
253.636, 130.580, 8.348, 12.299 False
253.358, 130.567, 8.348, 12.332 False
253.080, 130.553, 8.347, 12.365 False
252.802, 130.540, 8.347, 12.398 False
252.524, 130.527, 8.347, 12.431 False
252.247, 130.513, 8.346, 12.464 False
251.969, 130.500, 8.346, 12.497 False
251.691, 130.488, 8.346, 12.530 False
251.413, 130.475, 8.345, 12.563 False
251.135, 130.462, 8.345, 12.596 False
250.857, 130.449, 8.345, 12.629 False
250.579, 130.437, 8.344, 12.662 False
250.301, 130.424, 8.344, 12.695 False
250.023, 130.412, 8.344, 12.728 False
249.746, 130.400, 8.344, 12.761 False
249.468, 130.388, 8.343, 12.794 False
249.190, 130.376, 8.343, 12.827 False
248.912, 130.365, 8.343, 12.860 False
248.634, 130.353, 8.343, 12.893 False
248.356, 130.342, 8.342, 12.926 False
248.078, 130.330, 8.342, 12.959 False
247.801, 130.319, 8.342, 12.992 False
247.523, 130.308, 8.342, 13.025 False
247.245, 130.297, 8.341, 13.058 False
246.967, 130.286, 8.341, 13.091 False
246.689, 130.275, 8.341, 13.124 False
246.411, 130.265, 8.341, 13.157 False
246.134, 130.255, 8.341, 13.190 False
245.856, 130.245, 8.340, 13.223 False
245.578, 130.234, 8.340, 13.256 False
245.300, 130.224, 8.340, 13.289 False
245.022, 130.214, 8.340, 13.322 False
244.745, 130.204, 8.340, 13.355 False
244.467, 130.195, 8.340, 13.388 False
244.189, 130.185, 8.339, 13.421 False
243.911, 130.175, 8.339, 13.454 False
243.633, 130.166, 8.339, 13.487 False
243.355, 130.156, 8.339, 13.520 False
243.078, 130.147, 8.339, 13.553 False
242.800, 130.138, 8.339, 13.586 False
242.522, 130.129, 8.338, 13.619 False
242.244, 130.120, 8.338, 13.652 False
241.966, 130.112, 8.338, 13.685 False
241.689, 130.103, 8.338, 13.718 False
241.411, 130.095, 8.338, 13.751 False
241.133, 130.086, 8.338, 13.784 False
240.855, 130.078, 8.338, 13.817 False
240.577, 130.069, 8.338, 13.850 False
240.299, 130.061, 8.338, 13.883 False
240.022, 130.053, 8.337, 13.916 False
239.744, 130.045, 8.337, 13.949 False
239.466, 130.037, 8.337, 13.982 False
239.188, 130.029, 8.337, 14.015 False
238.911, 130.021, 8.337, 14.048 False
238.633, 130.014, 8.337, 14.081 False
238.355, 130.006, 8.337, 14.114 False
238.077, 129.999, 8.337, 14.147 False
237.799, 129.991, 8.337, 14.180 False
237.522, 129.984, 8.337, 14.213 False
237.244, 129.977, 8.336, 14.246 False
236.966, 129.969, 8.336, 14.279 False
236.688, 129.962, 8.336, 14.312 False
236.411, 129.955, 8.336, 14.345 False
236.133, 129.949, 8.336, 14.378 False
235.855, 129.942, 8.336, 14.411 False
235.577, 129.936, 8.336, 14.444 False
235.299, 129.929, 8.336, 14.477 False
235.022, 129.923, 8.336, 14.510 False
234.744, 129.916, 8.336, 14.543 False
234.466, 129.910, 8.336, 14.576 False
234.188, 129.904, 8.336, 14.609 False
233.911, 129.897, 8.336, 14.642 False
233.633, 129.891, 8.335, 14.675 False
233.355, 129.885, 8.335, 14.708 False
233.077, 129.879, 8.335, 14.741 False
232.799, 129.873, 8.335, 14.774 False
232.522, 129.867, 8.335, 14.807 False
232.244, 129.862, 8.335, 14.840 False
231.966, 129.856, 8.335, 14.873 False
231.688, 129.850, 8.335, 14.906 False
231.411, 129.845, 8.335, 14.939 False
231.133, 129.839, 8.335, 14.972 False
230.855, 129.834, 8.335, 15.005 False
230.577, 129.828, 8.335, 15.038 False
230.299, 129.823, 8.335, 15.071 False
